,title,publisher,img,release_date,critic_score,console
287,Afterparty,Night School Studio,/games/boxart/full_9941477AmericaFrontccc.jpg,2020-12-30,7.5,NS
292,Agatha Christie: The ABC Murders,Microids,/games/boxart/full_9210556AmericaFrontccc.jpg,2016-02-23,6.7,"PS4, PC, XOne"
293,Age of Booty,Capcom,/games/boxart/full_age-of-booty_648AmericaFront.jpg,2009-03-09,6.6,PC
295,Age of Conan: Hyborian Adventures,Eidos Interactive,/games/boxart/2799676ccc.jpg,2008-05-20,7.9,PC
296,Age of Conan: Rise of the Godslayer,Funcom,/games/boxart/full_age-of-conan-rise-of-the-godslayer_418AmericaFront.jpg,2010-05-11,7.9,PC
297,Age of Decadence,Iron Tower Studio,/games/boxart/default.jpg,2020-12-31,8.1,PC
298,Age of Empires II: Definitive Edition,Xbox Game Studios,/games/boxart/full_2453787AmericaFrontccc.jpeg,2019-11-14,8.4,PC
299,Age of Empires II: HD Edition,Microsoft Studios,/games/boxart/full_7218098AmericaFrontccc.jpg,2013-04-09,6.8,PC
300,Age of Empires III: Complete Collection,Microsoft Game Studios,/games/boxart/full_age-of-empires-iii-complete-collection_175AmericaFront.jpg,2009-09-15,8.1,PC
301,Age of Empires IV,Xbox Game Studios,/games/boxart/full_4877809AmericaFrontccc.jpg,2020-12-01,8.1,PC
302,Age of Empires Online,Microsoft Game Studios,/games/boxart/full_age-of-empires-online_573AmericaFront.jpg,2011-08-16,7.0,PC
304,Age of Empires: Definitive Edition,Microsoft Studios,/games/boxart/full_7626231AmericaFrontccc.jpg,2018-02-20,7.0,PC
305,Age of Pirates 2: City of Abandoned Ships,Playlogic Game Factory,/games/boxart/full_7486367AmericaFrontccc.jpg,2009-05-26,6.1,PC
309,Age of Wonders: Planetfall,Paradox Interactive,/games/boxart/full_2871676AmericaFrontccc.jpg,2019-08-06,8.1,"PS4, PC, XOne"
310,Age of Wushu,Snail Game,/games/boxart/default.jpg,2014-03-27,7.4,PC
312,Agent A: A puzzle in disguise,Yak & Co,/games/boxart/full_2872684AmericaFrontccc.png,2019-08-29,7.9,NS
314,Agents of Mayhem,Deep Silver,/games/boxart/full_434350AmericaFrontccc.jpg,2017-08-15,6.2,"PC, XOne, PS4"
315,Aggelos,PQube,/games/boxart/full_8986147AmericaFrontccc.jpg,2019-06-19,7.9,"PC, NS, PS4"
316,Agony,PlayWay,/games/boxart/full_1593703AmericaFrontccc.png,2018-05-29,5.0,"PC, PS4, XOne"
318,Aion: Tower of Eternity,NCSoft,/games/boxart/full_1074348AmericaFrontccc.jpg,2009-09-22,7.4,PC
322,Air Conflicts: Secret Wars,bitComposer Games,/games/boxart/full_air-conflicts-secret-wars_427AmericaFront.jpg,2011-08-30,6.0,"PC, X360, PS3, PS4"
328,AirMech Arena,Ubisoft,/games/boxart/full_8883193AmericaFrontccc.jpg,2014-10-01,7.3,"X360, PS4, XOne"
329,Airline Tycoon 2,Kalypso,/games/boxart/full_airline-tycoon-2_807AmericaFront.jpg,2011-10-11,5.7,PC
335,Akai Katana,Cave,/games/boxart/full_4420771AmericaFrontccc.jpg,2012-05-15,7.5,X360
337,Akaneiro: Demon Hunters,Spicy Horse,/games/boxart/full_5466711AmericaFrontccc.jpg,2013-01-31,5.3,"PC, PC"
340,Akiba's Beat,Xseed Games,/games/boxart/full_2926897AmericaFrontccc.jpg,2017-05-16,5.5,PS4
342,Akiba's Trip: Undead & Undressed,Xseed Games,/games/boxart/full_1597426AmericaFrontccc.jpg,2014-08-12,5.7,"PS3, PS4, PC"
346,Alan Wake,Microsoft Game Studios,/games/boxart/full_1170189AmericaFrontccc.jpg,2010-05-18,8.3,"X360, PC"
347,Alan Wake Remastered,Epic Games,/games/boxart/full_6769728AmericaFrontccc.jpg,2021-10-05,7.9,PS4
348,Alan Wake's American Nightmare,Remedy Entertainment,/games/boxart/full_7319339AmericaFrontccc.jpg,2012-05-22,7.6,PC
351,Alekhine's Gun,Maximum Games,/games/boxart/full_9129815AmericaFrontccc.jpg,2016-03-01,4.0,"XOne, PS4, PC"
353,Alex Kidd in Miracle World DX,Merge Games,/games/boxart/full_4795423AmericaFrontccc.jpg,2021-06-22,6.5,PC
357,Alice in Wonderland,Disney Interactive Studios,/games/boxart/full_382445AmericaFrontccc.jpg,2010-03-02,5.3,PC
358,Alice: Madness Returns,Electronic Arts,/games/boxart/full_alice-madness-returns_416AmericaFront.jpg,2011-06-14,6.8,"PC, X360, PS3"
359,Alien Breed 2: Assault,Team17 Software,/games/boxart/full_alien-breed-2-assault_770AmericaFront.jpg,2010-09-22,6.7,PC
360,Alien Breed 3: Descent,Team17 Software,/games/boxart/full_alien-breed-3-descent_668AmericaFront.jpg,2010-11-17,6.8,PC
363,Alien Rage,CI Games,/games/boxart/full_4334604AmericaFrontccc.jpg,2013-09-24,5.2,"PC, PS3, X360"
369,Alien Spidy,Kalypso Media,/games/boxart/default.jpg,2013-03-20,5.5,"PC, X360, PS3"
371,Alien Swarm,Valve,/games/boxart/full_alien-swarm_3AmericaFront.jpg,2010-07-19,8.5,PC
372,Alien: Isolation,Sega,/games/boxart/full_3454208AmericaFrontccc.jpg,2014-10-07,7.9,"X360, XOne, PS3, PC, PS4, NS"
374,Alienation,Sony Interactive Entertainment,/games/boxart/full_1058331AmericaFrontccc.jpg,2016-04-26,7.9,PS4
376,Aliens in the Attic,Playlogic Game Factory,/games/boxart/full_4043753AmericaFrontccc.jpg,2009-07-28,5.8,PC
377,Aliens vs Predator,Sega,/games/boxart/full_4800555AmericaFrontccc.jpg,2010-02-16,6.1,"PS3, PC, X360"
378,Aliens: Colonial Marines,Sega,/games/boxart/full_6517090AmericaFrontccc.jpg,2013-02-12,4.8,"PC, PS3, X360"
380,All Points Bulletin,Electronic Arts,/games/boxart/full_all-points-bulletin_3AmericaFront.jpg,2010-06-29,7.0,PC
382,All Zombies Must Die!,Doublesix,/games/boxart/default.jpg,2011-12-27,6.0,"PS3, X360, PC"
383,All-Star Fruit Racing,PQube,/games/boxart/full_9484258AmericaFrontccc.jpg,2018-08-21,6.3,"PS4, NS"
385,Alone,Greenwood Entertainment Software GmbH,/games/boxart/default.jpg,2014-04-01,7.0,PC
386,Alone With You,Benjamin Rivers Inc.,/games/boxart/full_7333795PALFrontccc.jpg,2016-08-23,7.2,PS4
387,Alone in the Dark,Atari,/games/boxart/full_7279035AmericaFrontccc.jpg,2008-06-23,6.3,"X360, PS3"
388,Alone in the Dark (2008),Atari,/games/boxart/full_7301205AmericaFrontccc.jpg,2008-06-23,5.8,PC
389,Alone in the Dark: Illumination,Atari,/games/boxart/full_963079AmericaFrontccc.jpg,2015-01-01,1.9,PC
392,Alpha Polaris,Unknown,/games/boxart/full_alpha-polaris_42AmericaFront.jpg,2011-06-24,5.2,PC
393,Alpha Protocol,Sega,/games/boxart/full_5392830AmericaFrontccc.jpg,2010-06-01,6.8,"X360, PC, PS3"
395,Altered Beast,Sega,/games/boxart/full_altered-beast_56AmericaFront.jpg,2010-06-01,6.3,PC
396,Alteric,Sometimes You,/games/boxart/full_9215482AmericaFrontccc.png,2018-03-30,4.8,NS
